ICAO24,Callsign,Longitude,Latitude,Baro_Altitude,Velocity
44022d,AUA55EZ ,15.757,48.2,5509.26,169.04
a5de7b,N4777U  ,-97.2827,36.2711,1783.08,73.57
a82b49,N62508  ,-97.1448,28.0096,2560.32,68.1
a234c0,ASH6239 ,-95.5018,30.1127,2735.58,139.11
a69b82,N525AA  ,-86.1164,39.4395,7871.46,119.88
47880f,NSZ2AL  ,-3.5959,38.839,10363.2,238.2
a0dab2,SKW5558 ,-96.7134,35.5485,10363.2,214.42
aa56f8,UAL2046 ,-76.7571,38.6354,11887.2,224.61
aa56f7,UAL533  ,-118.3991,33.9416,,0.0
a94b05,UAL546  ,-103.8949,38.4265,11277.6,253.34
a94b02,UAL1988 ,-80.481,34.2898,10668.0,234.09
a8a82f,QXE2208 ,-116.0258,43.5234,10264.14,226.35
a94b08,UAL1398 ,-81.7597,39.3581,10363.2,206.71
a7cedb,N602BW  ,-95.4221,44.9685,304.8,61.34
0d6120,TEST1234,-98.3038,19.145,3962.4,37.55
a08acb,RPA4320 ,-83.291,39.8894,8839.2,264.94
a29748,SWA2315 ,-112.0119,33.4322,,10.29
e80201,ARE4406 ,-73.689,6.5478,9403.08,232.43
a785ec,N584MW  ,-75.8987,38.8293,2072.64,100.01
ad9196,N9733L  ,-94.6613,38.8485,1005.84,51.94
0c4153,,-76.501,27.4956,12489.18,219.37
5110bf,TFL8GK  ,22.5729,41.7299,10058.4,237.2
ac7d18,N9033F  ,,,,73.87
aa441c,UAL131  ,-79.7524,47.9237,9928.86,228.89
a28484,UPS2785 ,-87.2713,35.9483,11887.2,253.06
5110c8,LIP665  ,17.0613,44.6564,6103.62,114.28
a65426,N507CC  ,,,,32.04
a3ed69,DAL611  ,-96.4031,34.7691,10980.42,232.66
ad67b0,N963EA  ,-88.6096,38.1814,2164.08,76.8
a4c4aa,MAD406  ,-83.3949,32.3466,10165.08,214.88
a40d62,N360MC  ,-123.9655,46.2826,10972.8,192.1
c03517,WJA224  ,-99.0025,51.9705,11277.6,256.79
a0317b,N111SA  ,-104.6307,40.4273,1371.6,38.61
a2d44a,OXF9846 ,-111.6914,33.9861,2286.0,69.21
a2d44b,OXF9832 ,-111.9594,33.0172,1615.44,61.91
800dae,SEJ7215 ,90.4851,20.1447,11277.6,232.85
a00915,N101GV  ,-116.5304,43.4729,1432.56,51.98
a6540d,N507BC  ,-96.5844,29.6282,3627.12,123.9
a41447,FFT991  ,-98.4073,29.4859,1074.42,121.24
8014b2,IGO378  ,76.3295,11.8825,7018.02,226.78
ac972c,FDX6393 ,9.8249,48.8785,9867.9,227.69
885224,THA329  ,99.5434,14.0347,8534.4,241.39
ac34a0,FDX5601 ,135.238,34.4274,,6.43
ab5d2c,DAL59   ,-69.5665,43.7918,9502.14,237.49
a39d70,N332CA  ,-81.2337,32.1289,60.96,65.37
ab5d41,N831ND  ,-82.5187,27.412,320.04,38.67
ab774b,AAL2997 ,-89.6649,38.9681,10972.8,227.5
a63a0f,N500BF  ,-118.4931,34.2192,,0.0
c0481b,ROU1651 ,-73.6303,45.5422,556.26,80.46
a95da0,SIL61   ,-85.7601,30.153,3002.28,142.79
ad0721,N939AJ  ,-75.9955,41.3593,6446.52,233.74
8014ad,IGO2244 ,76.2165,14.9827,10675.62,218.29
a71db6,LXJ558  ,-81.3264,28.3934,129.54,68.45
3d124d,DEFEJ   ,9.7956,47.9277,1394.46,68.1
a0dae2,AAL2133 ,-84.8876,39.6607,9753.6,220.09
a091db,N136DW  ,-81.5604,29.9635,701.04,69.72
a6a425,NKS830  ,-93.4881,29.6814,9364.98,241.81
a39113,EDV5535 ,-76.6532,39.2596,9136.38,219.35
ad072a,DAL2294 ,-91.139,40.8528,10050.78,245.5
ad4db3,N9563A  ,-74.5403,41.3798,899.16,42.14
4aca82,NSZ3505 ,-3.377,55.9485,68.58,77.55
404544,GBZWZ   ,-1.3631,51.4556,731.52,74.41
ad9d0f,N97650  ,-81.2437,28.8918,457.2,53.03
4aca84,NSZ9RA  ,12.1863,55.698,3139.44,148.68
a75a10,FDX806  ,-98.0837,35.3585,11902.44,247.55
4aca83,NSZ3704 ,4.3248,50.4014,11277.6,222.08
a69aaa,N52436  ,-111.5942,33.1452,1143.0,44.33
ad67bf,ERU963  ,-81.1394,29.3146,160.02,48.24
393324,AFR92JZ ,3.4433,47.6238,8214.36,238.29
4aca87,NSZ5072 ,9.8001,50.9334,10972.8,267.02
a64d4d,JBU461  ,-79.4739,28.54,10363.2,257.12
accd18,DAL1308 ,-85.7704,33.8873,5486.4,208.26
a1fad1,N2268X  ,-122.0034,45.2441,1310.64,29.25
5110e2,SAS1555 ,11.9762,56.2961,10972.8,218.78
aaedcb,FDY177  ,-77.4516,38.9511,,7.72
aaedcc,N803JB  ,-83.9283,39.8261,304.8,34.02
e07583,ARG1899 ,-58.794,-34.6194,1722.12,122.57
a0f4f6,DAL2978 ,-81.3263,28.3894,152.4,76.66
5110e7,SAS116  ,16.6718,57.8761,5181.6,147.85
ac2dc9,N884ME  ,-79.8338,40.4548,617.22,65.34
5110e1,SAS2689 ,11.3301,51.2534,10972.8,200.16
a3f473,JBU1182 ,-70.8644,42.4592,662.94,97.34
c02207,SWG6034 ,-81.0002,28.0792,11277.6,225.98
a57ae0,N452PS  ,-73.0293,40.9017,1775.46,77.92
a1b449,RPA5594 ,-76.4044,37.6487,4434.84,199.5
5110ca,SAS2591 ,17.9518,59.656,,8.23
a65454,DAL355  ,-122.0231,33.5554,9753.6,211.79
a39100,DAL1183 ,-79.7804,43.6123,1264.92,134.1
4008f2,BAW9JT  ,-2.7899,47.6014,11590.02,239.0
a14a77,CXK625  ,-111.5111,32.8713,1981.2,53.75
ac7d3c,N9034G  ,-82.0638,30.2704,1623.06,62.98
ac7103,AAL1584 ,-111.4707,35.4632,9136.38,222.28
a487cd,N391PH  ,-89.4283,43.0777,342.9,17.19
aaf4c8,DAL1161 ,-82.9407,33.7297,10972.8,260.8
34448d,IBS3838 ,-8.2292,38.0909,10660.38,235.17
800db0,VTI807  ,76.5591,26.3161,10157.46,217.37
a70aa1,ASA1325 ,-122.3708,45.4219,11544.3,233.81
402b12,GBOLV   ,-0.3297,50.8067,350.52,41.0
75833c,PAL211  ,121.2927,12.9176,7650.48,220.67
a02a95,N11HM   ,-122.9561,45.543,,0.0
75833a,PAL684  ,57.3481,24.6653,11582.4,254.41
a857c2,PDT6035 ,-71.3527,41.8057,464.82,75.05
344498,IBS3741 ,1.2606,46.7822,11277.6,216.83
